KEY,de-DE
hey^noproblem*gwydioncompanywillworkwithyouanytime*,Hey kein Thema. Gwydion Company freut sich schon auf die nächste Zusammenarbeit.
hey^thatsoundsgreat*really^itdoes!but^uh^inthemeantime^ivegotalittleproblemonmyhands*newlinenewlineyknowtheguyswhowerefightingyouoverthevault?bintonandmodge?well^uh^theysentsomegoonstomyplacein[[dm*basedescriptiondefs[lorelouthabbey]^louthabbey^and^longstoryshort,Hey das klingt toll. Wirklich! Aber ... äh ... inzwischen hab ich da ein klitzekleines Problem am Hals.\n\nDie Kerle die mit Ihnen um die Einrichtung gekämpft haben ... Binton und Modge ... Na ja äh ... Sie haben ein paar Schläger zu mir nach Hause in [[DM.BaseDescriptionDefs[LoreLouthAbbey]Louth Abbey]] geschickt und ... Lange Rede kurzer Sinn ...
hey^uh^boss?youknowhowtianyusaidthathewantedmetowriteupaninventoryoftheminingequipmentinthewarehouse^andleaveeverythingelseuntouched?newlinenewlinewell^wefoundsomethingelseinhere*thedoortoabig-assundergroundvault*ballparkestimate^thisthingstretchesabouttwelvecityblocks^withmultipleabovegroundentrypoints*,Hey äh Boss? Tianyu wollte doch eine Liste mit der ganzen Bergbauausrüstung aus dem Lagerhaus von mir meinte aber ich solle nicht anderes anfassen?\n\nIch bin da jedenfalls auf etwas gestoßen ... eine Tür zu einer enormen unterirdischen Kammer. Wenn ich schätzen müsste würde ich sagen dass sich das über etwa zwölf Straßenblocks erstreckt - mit mehreren oberirdischen Eingängen.
hey^uh^bossjustaheads-up*impickingupadropshipontheleopardslong-rangesensors*lookstomelikethebadguysjustcalledinthecavalry*,Hey ähm Boss ... ich will Sie nur vorwarnen. Die Langstreckensensoren des Leopard haben ein Landungsschiff erfasst. Für mich sieht das so aus als hätten die bösen Jungs gerade die Kavallerie gerufen.
hey^uh^xo?imtrackinganinboundblip*cominginfastandlow^liketheyremakingadropoff*,Hey ähm Erster Offizier? Ich verfolge ein sich im Anflug befindliches Signal. Kommt tief und schnell rein wollen wohl was absetzen.
hey^wheresmystuff?,Hey wo ist mein Zeug?
hey^willyoulookatthat?hesdrinkingagain*newlinenewlineifthatdoesntwarmyourheart^nothingwill*,Hey sehen Sie das? Er trinkt schon wieder.\n\nWenn einem da nicht warm ums Herz wird dann weiß ich es auch nicht.
hey^xo?ivegotmultipleblipshere*lookslike***{team_tar*factiondef*demonym}livery*,Hey Erster Offizier? Ich hab hier mehrere Signaturen. Sieht aus wie ... {TEAM_TAR.FactionDef.Demonym}-Markierungen.
hey^xo^ivegotaleopardinboundtothebattlefield^with{team_host*factiondef*demonym}markings*weexpectingcompany?,Hey Erster Offizier da ist ein Leopard im Anflug auf das Schlachtfeld Erkennungszeichen {TEAM_HOST.FactionDef.Demonym}. Erwarten wir etwa Besuch?
hey^yang?whatsthatenginesignature?,Hey Yang? Was ist das für eine Antriebssignatur?
hey^youllhearnoargumentsfrommewhenwemadeyouourcommander^weallagreedtofollowyourlead*newlinenewlinedarius^couldyouwalkusthroughthedetailsofthistroublewerein?itmighthelpifyoubrokethingsdownpointbypoint*,Hey werde mich nicht beschweren ... Wir alle waren uns einig Ihnen zu folgen als wir Sie zum Commander gemacht haben.\n\nDarius könnten Sie uns die aktuellen Probleme vielleicht erläutern? Am besten Punkt für Punkt.
heyagain^{commander*firstname}*somethingicandoforyou?,Hallo mal wieder {COMMANDER.FirstName}. Kann ich was für Sie tun?
heyagain^boss*excitingtimes^withthetauriansoutofthewarandall*newlinenewlinedontgetmewrongtheresalotofterriblenesstogoaround^too*alexanderinthedirectoratesclutches^andallthat*butstill^thisfeelslikeaprettybigstepintherightdirection*,Hallo mal wieder Boss. Ziemlich toll jetzt nachdem die Taurianer nicht mehr im Krieg kämpfen und so weiter.\n\nVerstehen Sie mich nicht falsch ... es gibt natürlich immer noch genügend Negatives mit Alexander in den Klauen des Direktorats. Aber es fühlt sich dennoch wie ein großer Schritt in die richtige Richtung an.
heyagain^boss*whatsup?,Hallo mal wieder Boss. Was gibt's?
heyboss^imseeingmorecontacts*whatevertheseguysstolemustbeimportant*,Hey Boss ich empfange hier mehr Kontakte. Was die auch gestohlen haben muss ganz schön wert voll sein.
heymeyer^itsme^theprofessional^andimstillalive!ahahahahaha!,Hey Meyer ich bin es DER PROFI und ich lebe noch immer! Ahahahahaha!
heyya^boss*canigetyousomething?,Hallo Boss. Kann ich was für Sie tun?
heyya^boss*welcometothemechbaymyownlittlepieceofheavenrighthereontheship*newlinenewlinesomethingicanhelpyouwith?,Hey Boss. Willkommen im Mech-Hangar - meinem persönlichen kleinen Stückchen Himmel auf dem Schiff.\n\nKann ich Ihnen irgendwie helfen?
hgn-733piic,HGN-733P IIC
hibuarius,Hibuarius
hidden,Verborgen
hidden!,HIDDEN!
hidden-additionalforcesprimarydroptimer,HIDDEN - Additional Forces Primary Drop Timer
hidden-additionalforcessecondarydroptimer,HIDDEN - Additional Forces Secondary Drop Timer
hidden-aflagforwhentheplayerkillseverythingbuttheenemybaseisstillintact*,HIDDEN - A flag for when the player kills everything BUT the enemy base is still intact.
hidden-aflagthatactivateswhenoneofthecommandvehiclesisattacked*,HIDDEN - A Flag that activates when one of the Command Vehicles is attacked.
hidden-aflagthatshowsthatthedefendobjectivewasattacked*,HIDDEN - A flag that shows that the defend objective was attacked.
hiddenapproachingprison,HIDDEN Approaching Prison
hidden-approachtheenemybase,HIDDEN - Approach the Enemy Base
hiddenblowuppumpstation,HIDDEN Blow Up Pump Station
hidden-camerafocusforspawnedreinforcements,HIDDEN - Camera Focus for Spawned Reinforcements
hiddendestroyallunits,Verborgen Alle Einheiten zerstören
hiddendestroyturretgeneratorobjective,Verborgenes Ziel: Zerstöre den Geschützturmgenerator
hiddendestroyturretgenerators,VERBORGEN Zerstöre die Geschützturmgeneratoren
hiddendialogdriver,VERBORGEN DIALOG Fahrer
hiddendialogdriverforyang,HIDDEN Dialog Driver for Yang
hiddenfallbackoccupy,HIDDEN Fallback Occupy
hiddenfight2dialogdriver,HIDDEN Fight2DialogDriver
hidden-flagforwhencommandtrucksdestroyeddialogueiscomplete*,HIDDEN - Flag for when CommandTrucksDestroyed Dialogue is complete.
hidden-flagindicatingthathostiletoallisreadytodrop*,HIDDEN - Flag indicating that Hostile to All is ready to drop.
hidden-flagindicatingthatthedroptimerisreadytogo*,HIDDEN - Flag indicating that the Drop Timer is ready to go.
hidden-flagindicatingthatthesilenttimerisreadytogo*,HIDDEN - Flag indicating that the Silent Timer is ready to go.
hidden-flagthatsucceedswhentheevacregionactivates*,HIDDEN - Flag that succeeds when the Evac region activates.
hidden-flagtoactivatehostiletoall1roundsafetytimer,HIDDEN - Flag to Activate Hostile to All 1 Round Safety Timer
hidden-flagtodetermineifallprimariesarecomplete*,HIDDEN - Flag to determine if all primaries are complete.
hidden-flagtodetermineiftheprimariescompletedialogueahsbeencompleted*,HIDDEN - Flag to determine if the PrimariesComplete dialogue ahs been completed.
hidden-flagtodropwave1*,HIDDEN - Flag to drop wave 1.
hidden-flagtodropwave2*,HIDDEN - Flag to drop wave 2.
hidden-flagtodropwave3*,HIDDEN - Flag to drop wave 3.
hiddengarrisonalertedflag,Verborgener Auslöser: Garnison alarmiert
hiddenhack,VERBORGEN HACK
hiddenheavytimer,Verborgen Timer für Schwer
hidden-hostiletoall1roundsafetytimer,HIDDEN - Hostile to All 1 Round Safety Timer
hiddenhostiletoallaitimer,Hidden Hostile to ALL AI Timer
hidden-hostiletoallaitimer,HIDDEN - Hostile to All AI Timer
hiddenhostiletoalldroptimer,Hidden Hostile to All Drop Timer
hidden-hostiletoalldroptimer*,HIDDEN - Hostile to All Drop Timer.
hiddenkillobjectiveforopfor1,Verborgenes KILL-ZIEL für feindliche Streitmacht 1
hiddenkillobjectiveforopfor2,Verborgenes KILL-ZIEL für feindliche Streitmacht 2
hiddenlagoon,Verborgene Lagune
hiddenmainalphalancespawntimer,Verborgen Hauptlanze Alpha Spawn-Timer
hiddenmainbravolancespawntimer,Verborgen Hauptlanze Bravo Spawn-Timer
hiddenmainforcealertedflag,Verborgener Auslöser: Hauptstreitmacht alarmiert
hiddenmarkerobjective,VERBORGEN Markierungsziel
hiddenobjective:destroybaseturrets,Verborgenes Ziel: Zerstöre die Geschütztürme der Basis
hiddenobjective:destroyhunterlanceformissioncomplete*,Verborgenes Ziel: Zerstöre die Jägerlanze um die Mission abzuschließen
hiddenobjective:destroytheassassinationlance,Verborgenes Ziel: Zerstöre die Attentatlanze
hiddenobjective:destroythebaseturrets,Verborgenes Ziel: Zerstöre die Geschütztürme der Basis
hiddenobjective:destroythehunterlanceformissioncompletion,Verborgenes Ziel: Zerstöre die Jägerlanze um die Mission abzuschließen
hiddenobjective:destroythesecondlance,Verborgenes Ziel: Zerstöre die zweite Lanze
hiddenobjective:destroythethirdlance,Verborgenes Ziel: Zerstöre den dritten Aufklärer
hiddenobjectiveforlogiconly,HIDDEN OBJECTIVE FOR LOGIC ONLY
hiddenobjectivetimer,HiddenObjectiveTimer
hiddenobjetive:destroythesecondlance,Verborgenes Ziel: Zerstöre die zweite Lanze
hiddenoccupycaptaintrigger,VERBORGEN Captain okkupieren-Auslöser
hiddenopenplayerevacobjective,Hidden Open Player Evac Objective
hiddenrearshotsdialogdriver,HIDDEN RearShotsDialogDriver
hiddenrefflag1,Verborgen Ref-Flagge 1
hiddenreinforcementdriver,HIDDEN Reinforcement Driver
hidden-reinforcements1attacktimer,HIDDEN - Reinforcements 1 Attack Timer
hidden-reinforcements2attacktimer,HIDDEN - Reinforcements 2 Attack Timer
hidden-reinforcements3attacktimer,HIDDEN - Reinforcements 3 Attack Timer
hiddenshiponearrivalmessagetimer,Verborgen: Nachrichten-Timer für Ankunft von Schiff Eins
hiddenshipthreewarning,Verborgen Schiff drei-Warnung
hiddenshiptwowarning,Verborgen Schiff zwei-Warnung
hiddenspawntimer,Verborgen Spawn-Timer
hiddenspotarmory,VERBORGEN Rüstkammer entdeckt
hiddenspotterasync1,Verborgen Aufklärer Async 1
hiddenspotterasync2,Verborgen Aufklärer Async 2
hiddenspottertimerobjective,Verborgen Aufklärer-Timer-Ziel
hiddensrmflag,Verborgener Auslöser: KSR
hiddentargetprimaryaiswaptimer,Hidden Target Primary AI Swap Timer
hiddentargetprimarydroptimer,Hidden Target Primary Drop Timer
hiddentimerobjectivestucksappersafety,HiddenTimerObjectiveStuckSapperSafety
hiddentransport1pickup,Verborgen Transporter 1 aufsammeln
hiddentransportconvoy1timer,Verborgen Timer für Transport-Konvoi 1
hiddentransportconvoy2timer,Verborgen Timer für Transport-Konvoi 2
hiddentransportpickupobjective,Verborgen Transporter-Aufsammeln-Ziel
hiddentransportpickupobjective2,Verborgenes Ziel: Sammle Transporter 2 ein
hiddentrucktimer,Verborgen Truck-Timer
hiddenvictoriadead?,VERBORGEN Victoria tot?
hidden-waitforreinforcementwarning,HIDDEN - Wait for reinforcement warning
hiddenwave3timer,Verborgen Timer für Welle 3
hiddenwave4timer,Verborgen Timer für Welle 4
hiddenwavetimer,Verborgen Timer für Welle
hide?dontbeanidiot*youonlyfoundmebecauseiwantedtobefound*letsplay^children*,Verstecken? Seien Sie kein Idiot. Sie haben mich nur gefunden weil ich gefunden werden wollte. Spielen wir Kinderchen.
hidetheevidence,Verstecke die Beweise
hidingisgood*trytokeepyourselfaliveuntilthesmokeclears*,Gute Idee. Versuchen Sie am Leben zu bleiben bis sich der Rauch gelegt hat.
high,HOCH
high-capacitypowerconduits,Hochleistungsstromkabel
highgravityplanet,Planet mit hoher Anziehungskraft
highlady,High Lady
highlanderhgn-732b,Highlander HGN-732b
highlands,Hochland
highlandsbiome,HOCHLANDBIOM
highlandsspring,Hochland im Frühling
highlordtamatiaranoii,High Lord Tamati Arano II.
highmorale,HOHE MORAL
highmorale+loserebellious,Hohe Moral + Rebellisch verloren
highmorale+removewound,Hohe Moral + Verletzung verloren
highmorale1mw^lowmoralefor1mw,Hohe Moral 1 MK Niedrige Moral für 1 MK
highmoralefor1mw,Hohe Moral für 1 MK
highmoralefor2mws,Hohe Moral für 2 MK
highmoralemw2,Hohe Moral MK 2
highorbit(location),Hoher Orbit — (Ort)
highorbit{tgt_flashpoint*cursystem*name},Hoher Orbit – {TGT_FLASHPOINT.CurSystem.Name}
highorbitadrar,Hoher Orbit — Adrar
highorbitalloway,Hoher Orbit — Alloway
highorbitbellerophon,Hoher Orbit — Bellerophon
highorbitbrockway,Hoher Orbit — Brockway
highorbitcavalor,Hoher Orbit — Cavalor
highorbitclaybrooke,Hoher Orbit — Claybrooke
highorbitcluffsstand,Hoher Orbit — Cluff's Stand
highorbitcoromodir,Hoher Orbit — Coromodir
highorbitdesolateplains,Hoher Orbit — Trostlose Ebene
highorbitelectra,Hoher Orbit — Electra
highorbitfagerholm,Hoher Orbit — Fagerholm
highorbitflintoft,Hoher Orbit — Flintoft
highorbitglentworth,Hoher Orbit — Glentworth
highorbitherotitus,Hoher Orbit — Herotitus
highorbithorsham,Hoher Orbit — Horsham
highorbitistbur,Hoher Orbit — ISTBUR
highorbitkern,Hoher Orbit — Kern
highorbitlarsha,Hoher Orbit — Larsha
highorbitlindsay,Hoher Orbit — Lindsay
highorbitmendham,Hoher Orbit — Mendham
highorbitmerlin,Hoher Orbit — Merlin
highorbitmitchel,Hoher Orbit — Mitchel
highorbitnewvallis,Hoher Orbit — New Vallis
highorbitnondiz,Hoher Orbit — Non Diz
highorbitperatallada,Hoher Orbit - Peratallada
highorbitpilpala,Hoher Orbit — Pilpala
highorbitprimus,Hoher Orbit - Primus
highorbitquimberton,Hoher Orbit — Quimberton
highorbitsax,Hoher Orbit — Sax
highorbitshaunavon,Hoher Orbit — Shaunavon
highorbitviribium,Hoher Orbit — Viribium
highorbityuris,Hoher Orbit — Yuris
highpeak,Gipfel
highplateaus,Hochebene
highqualityui,HOHE UI-QUALITÄT
high-rankingcomstarofficialswhotypicallyserveasthecommandersofhpginstallations*comstarsdoctrineofreligiousmysteryhaselevatedprecentorstoquasi-mysticalfiguresintheeyesofthegeneralpublic*,Hochrangige ComStar-Mitarbeiter die häufig HPG-Einrichtungen leiten. ComStars geheimnisvoll-religiöse Doktrin hat Präzentoren in den Augen der allgemeinen Öffentlichkeit zu quasi-mystischen Personen erhoben.
highspirits,Gut gelaunt
highspirits^defendyourdecision^one-on-one,Gut gelaunt rechtfertige deine Entscheidung eins gegen eins
highspirits^fansapprove,Gut gelaunt die Fans sind zufrieden
highspirits^moralegain,Gute Stimmung Moral gestiegen
highspirits^moraleloss,Gute Stimmung Moral gefallen
highspirits^thefansapprove,Gut gelaunt die Fans sind zufrieden
highspirits+dependable,Gut gelaunt + Verlässlich
highspiritsformw,Gut gelaunt
highspiritsformw^lowforothers,high spirits for MW Low for others
hightide,Flut
highwayman,Wegelagerer
hiidenkameaoccupyregion,HIIDEN Kamea Occupy Region
him,ihm
himself,selbst
hire,ANHEUERN
hirearepaircrewfrom{tgt_system*name}*,Heuern Sie ein Reparaturteam von {TGT_SYSTEM.Name} an.
hiredguns,Auftragssoldaten
hiredkiller,Auftragsmörder
hiredpersonneladdongoingsalarycoststoyourquarterlyexpenditure*,Angeheuertes Personal fügt deinen vierteljährlichen Ausgaben laufende Gehaltskosten hinzu.
hirefor{0}?,Für {0} anheuern?
hirethebestyoucanafford*,Heuere die besten bezahlbaren Personen an.
hiringhall,Rekrutierungshalle
hironaka,Hironaka
his,sein
hisfirstpunchtookthehunchbacksmainguncleanoff*hewastotallymatter-of-factaboutititwasntadesperateswingorapanicmove^hejustcalmlyputhisfistintothepiratemechsweaponpod^grabbedit^andwrencheditfreefromitsmoorings*newlinenewlineitwaslikeidunno^likewatchingafarmeruprootatreestump*youknowworkmanlike*andallthewhile^wecouldhearthepirateoveranopenchannel^screamingandcursingashedesperatelytriedtofightback*,Mit seinem ersten Schlag hat er dem Hunchback einfach die Hauptkanone abgenommen. Er ging dabei ganz nüchtern vor ... es war kein verzweifelter Hieb oder eine panische Handlung. Er streckte nur die Faust in die Waffenkapsel des Piraten-Mechs schnappte sich die Kanone und riss sie aus der Verankerung.\n\nEs war wie ... ich weiß es nicht ... wie ein Waldarbeiter der einen Baumstumpf aus dem Boden holt. Sie wissen schon richtig fachmännisch. Und die ganze Zeit über konnten wir den Piraten über einen offenen Kanal schreien und zetern hören während er versuchte sich irgendwie zu wehren.
hishonor^myass*letsjustgetthisdone^{commander*firstname}*,Von wegen ""seine Ehre"". Bringen wir das einfach hinter uns {COMMANDER.FirstName}.
hismechmaybeheavy^commander^butidontseealotofmechrepairfacilitiesouthere^sothismightnotbeasdifficultasitlooks*,Sein Mech mag schwer sein Commander aber ich sehe hier draußen kaum Mech-Reparatureinrichtungen. Das könnte also gar nicht so schlimm werden wie wir befürchtet hatten.
hisnationisteeteringonthebrinkofwarwiththefederatedsuns^commander{commander*lastname}*andforalltheconcordatsbravado^itwouldcertainlylosesuchaconflict*newlinenewlinegiventhecircumstances^isitreallysosurprisingthathedacceptanofferoffriendship?ifopenwarfaredoeserupt^hesgoingtoneedallthehelphecanget*,Seine Nation steht kurz vor einem Krieg mit den Vereinigten Sonnen Commander {COMMANDER.LastName}. Und so wagemutig das Konkordat auch sein mag diesen Kampf würde es mit Sicherheit verlieren.\n\nIst es angesichts dieser Umstände wirklich so überraschend dass er ein Freundschaftsangebot ausschlagen würde? Sollte es <i>wirklich</i> zu offenen Kampfhandlungen kommen wird er alle Hilfe benötigen die er bekommen kann.
hit%,TREFFER%
hitbyanenemy{killedby_unit*description*name},von feindl. {KILLEDBY_UNIT.Description.Name} getroffen
hitdefense,Trefferabwehr
hitdefenseprovidesaglobalincreasetothedifficultyofallincomingattacks^relativetothecurrentcircumstancesoftheshot*,Trefferabwehr erhöht die Schwierigkeit aller eingehenden Angriffe im Verhältnis zu den jeweiligen Umständen des Angriffs.
hitdifficulty,TREFFER-SCHWIERIGKEIT
hitindex,Trefferindex
hitintheheadbyanenemy{killedby_unit*description*name},von feindl. {KILLEDBY_UNIT.Description.Name} in den Kopf getroffen
hitlocation,Trefferzone
hitpercentage:,Trefferquote:
hitsbypassarmor,Treffer umgehen Panzerung
hitsruinaim,Treffer beeinträchtigen Zielgenauigkeit
hitsslowmovement,Treffer verlangsamen Bewegungsgeschwindigkeit
hitthemhardandgetthehelloutofthere^commander*ihaveabadfeelingaboutthisone*,Schlagen Sie schnell und hart zu Commander und sehen Sie zu dass Sie sich dann wieder verdrücken. Ich hab bei der Sache ein ganz mieses Gefühl.
hm*itakeyourpoint*still^themargravewasextremelyenthusiasticabouttheprospectofassault-classbattlemechstakingthefield*newlinenewlineahwell*ihiredyouforyourexpertise^notyourmechs*verywell^commander;bringthelanceyouthinkbest*,Hm. Ich verstehe. Und doch war der Markgraf sehr von der Idee begeistert überschwere Mechs aufs Schlachtfeld zu schicken.\n\nNun ja. Ich habe Sie wegen Ihres Fachwissens angeheuert nicht wegen Ihrer Mechs. In Ordnung Commander stellen Sie die Lanze so zusammen wie Sie es für richtig halten.
hm^yousay*sootherpilotsarelettingyouin*well^itsoundslikeyouvefoundaworkaroundfornow*doctor^tryincreasingthenumberofattemptsbeforealockouttriggers*[[tgt_mw^{tgt_mw*callsign}^aslongasyoustayoutoftrouble^idontthinkweneedtobeconcerned*newlinenewlinenewlineglitchshrugsstiffly*sure^commander*itsnotlikeimnotusedtoit*,Hm"" sagst du ""also lassen die anderen Piloten Sie rein. Fürs Erste ist das ja eine akzeptable Notlösung. Doktor versuchen Sie doch mal die Anzahl der Versuche zu erhöhen bevor die Sperre aktiv wird. [[TGT_MW{TGT_MW.Callsign}]] solange Sie keinen Ärger verursachen müssen wir uns wohl keine Sorgen machen.""\n\n\nGlitch zuckt steif mit den Schultern. ""Alles klar Commander. Ich bin es ja gewohnt.""
hmm*commander^itrustthatyoucanhandleanyadditionalenemyforces?,Hmm. Commander ich gehe davon aus dass Sie mit ein paar zusätzlichen Gegnern zurechtkommen werden?
hmm*lemmethinkaboutthatone^boss*{commander*callsign}*newlinenewlinenono^iguesstheyrenot*,Hm lassen Sie mich darüber nachdenken Boss. ""{COMMANDER.Callsign}.""\n\nNein ... nein vermutlich nicht.
hmmm*commander^thefedsunsseemtohaveasubterraneanmotorpool^andtheyredeployingarmedvehiclesfromit*,Hmm. Commander die Vereinigten Sonnen verfügen wohl über eine unterirdische Garage von der aus bewaffnete Fahrzeuge eingesetzt werden.
holddownthealtkeywhileamechisselectedincombattoviewallthepossiblemovementspotsnearyourmouse*,Halte die ALT-Taste gedrückt während du einen Mech im Kampf ausgewählt hast um alle möglichen Bewegungspunkte in der Nähe deiner Maus anzuzeigen.
holdfactorywhilereinforcementsarrive,Halte die Fabrik bis die Verstärkung eintrifft
holdforenemycontact,Warte bis der Feind in Erscheinung tritt
holdon*thatsabigjump*whydowehavetokillluthendorff?,Einen Moment. Das ist doch verrückt. Wieso sollen wir Luthendorff umbringen?
holdout,Halte durch
holdoutagainstthebeastsofbalawatsattack,Verteidige dich gegen den Angriff der Beasts of Balawat
holdoutagainstthedavioncounterattack,Verteidige dich gegen den Davion-Gegenangriff
holdoutagainstthejanissaryreinforcements,Verteidige dich gegen den Angriff der Janissary-Verstärkung
holdoutagainstthekuritancounterattack,Verteidige dich gegen den Kurita-Gegenangriff
holdoutagainstwavesoftaurianattackers,Halte gegen die Taurus-Angriffswellen stand
holdoutasbaumanngroupmercenariescounterattack,Überstehen Sie den Gegenangriff der Baumann-Group-Söldner.
holdoutascombatdronescounterattack,Überstehen Sie den Gegenangriff der Kampfdrohnen.
holdoutasenemiescounterattack,Überstehe den Gegenangriff des Feindes
holdoutasenemiescounter-attack,Überstehe den Gegenangriff des Feindes
holdoutfor{team_emp*factiondef*demonym}reinforcements,Halte durch bis Verstärkung {TEAM_EMP.FactionDef.Demonym} eintrifft
holdoutforreinforcements,Halte durch bis die Verstärkung eintrifft
holdoutuntilloadingiscomplete,Halte die Stellung bis die Verladung abgeschlossen ist
holdoutwhiledr*muraduploadsthelocuratotheiberia,Halte durch solange Dr. Murad den Locura auf die <i>Iberia</i> hochlädt
holdoutwhileluthendorffrequestsreinforcements,Halte durch bis Luthendorffs Verstärkung eintrifft
holdposition^commander*yourtargetisonherwayoutnow*,Halten Sie die Stellung Commander. Ihr Ziel ist auf dem Weg zu Ihnen.
holdthatpositionuntiltheairavataconfirmsreceiptofthedata^commander*,Halten Sie die Position bis die <i>Airavata</i> den Empfang der Daten bestätigt hat Commander.
holdthatthought^commander*wemaynotbewillingtotakethefieldtogether^butthatdoesntmeanthatwecanthelp*imbringingmilitiahqsnorthernturretsonline*,Einen Moment Commander. Wir möchten vielleicht nicht gemeinsam in die Schlacht ziehen aber das bedeutet nicht dass wir nicht helfen können. Ich aktiviere die nördlichen Geschütztürme des Milizhauptquartiers.
holdthatthought^lordmadeira*commander^imgettingatight-beamcommunicationfromtheplanetssurface*itsladyarano^anditlooksurgent*newlinenewlineimputtingiton-screennow*,Einen Moment Lord Madeira. Commander ich empfange eine Bündelstrahl-Nachricht vom Planeten. Sie kommt von Lady Arano sieht dringend aus.\n\nIch lege sie auf den Bildschirm.
holdthearmoryagainstsecurityreinforcements,Halte die Rüstkammer gegen feindliche Sicherheitskräfte
holdthebase,Verteidige die Basis
holdthebase^keepthebuildingsupright^andeliminateanythreats*oliveiraout*,Verteidigen Sie die Basis schützen Sie die Gebäude und eliminieren Sie alle Bedrohungen. Oliveira Ende.
holdthebase^keepthebuildingsupright^andthenwegetpaid*oliveiraout*,Verteidigen Sie die Basis und schützen Sie die Gebäude dann bekommen wir unser Geld. Oliveira Ende.
holdthebase^keepthebuildingsupright^thenwegetpaid*goodluck*,Verteidigen Sie die Basis und schützen Sie die Gebäude dann bekommen wir unser Geld. Viel Glück.
holdthebaseuntil{team_emp*factiondef*demonym}forcesarrive,Verteidige die Basis bis Truppen {TEAM_EMP.FactionDef.Demonym} eintreffen
holdthebasewhilefarahrigsthecommarray,Verteidige die Basis solange Farah mit der Kommunikationsanlage beschäftigt ist
holdthefacility^keepthebuildingsupright^anddestroytheattackers*goodluck*,Halten Sie die Einrichtung schützen Sie die Gebäude und vernichten Sie die Angreifer. Viel Glück.
holdthefacilityuntilreinforcementsarrive,Halte die Einrichtung bis Verstärkung eintrifft
holdthefacilitywhilereinforcementsarrive,Halte die Einrichtung während Verstärkung eintrifft
holdtheline,Halte die Stellung
holdtheoutpostwhilereinforcementsarrive,Halte den Außenposten während Verstärkung eintrifft
holdtheprisonuntilladykameaaranomakeslandfall,Verteidigen Sie das Gefängnis bis Lady Kamea Arano gelandet ist.
holdtheprisonuntilladykameaaranomakeslandfall*,Verteidigen Sie das Gefängnis bis Lady Kamea Arano gelandet ist.
holdthestationwhilereinforcementsarrive,Halte die Station während Verstärkung eintrifft
holdthewarehouseswhilereinforcementsarrive,Halte die Lagerhallen während Verstärkung eintrifft
holdthislocationuntilourpeoplecangrabtheasset*,Halten Sie dieses Gebiet bis unsere Leute das Ziel gesichert haben.
holdthislocationuntilourpeoplecangrabthepayrollcrates*,Halten Sie dieses Gebiet bis unsere Leute die Kisten mit den Soldlisten gesichert haben.
holdthisposition^commander*thepackagewillbeonitswaysoon*,Halten Sie die Stellung Commander. Das Paket ist gleich unterwegs.
holdtight^commander!friendlyreinforcementsareontheirway!,Halten Sie durch Commander! Verstärkung ist bereits auf dem Weg!
holdyourtongueoriwillhaveyougagged^youmiserableswine*andcommanderthankyou*myfamilyisinyourdebt*,Seien Sie still oder ich werde Sie knebeln Sie dreckiges Schwein! Und Commander haben Sie vielen Dank. Meine Familie steht in Ihrer Schuld.
ho-leeshit^youactuallycame*{commander*firstname}{commander*lastname}^intheflesh*newlinenewlineyknow^theinvitationisentyouwassortofahailmary*tobefrank^iwas90percentcertainyouwouldntevenrespond*buthereyouare^godsbepraised!,<i>Heilige</i> Scheiße Sie sind tatsächlich gekommen. {COMMANDER.FirstName} {COMMANDER.LastName} höchstpersönlich.\n\nWissen Sie die Einladung die ich Ihnen geschickt habe war einfach nur ein verzweifelter Versuch. Um ehrlich zu sein war ich mir zu 90 Prozent sicher dass Sie nicht mal antworten würden. Aber da sind Sie jetzt. Gott sei Dank!
hologram,Hologramm
holo-vidpropaganda,Holo-Vid-Propaganda
holovidsdelivered^addhighmorale,Holo-Vids geliefert hohe Moral erhalten
holovidseries:fringers,Holo-Vid-Serie: Fringers
holovidseries:mercenaries!,Holo-Vid-Serie: Mercenaries!
holovidseries:minormajor,Holo-Vid-Serie: Minor Major
holovidseries:roughriders,Holo-Vid-Serie: Rough Riders
holovidseries:undercover,Holo-Vid-Serie: Undercover
holysee,Heiliger Stuhl
holyshit!wewon!weactuallywon!,Heilige Scheiße! Wir haben gewonnen! Wir haben tatsächlich gewonnen!
holyshit*,Meine Güte!
holyshit*ladyaranosensorsarepickingupevidenceofamassivefuel-airexplosioninthecapital*newlinenewlinecastlegallasisgone*,Verdammt! Lady Arano ... die Sensoren haben eine gewaltige Treibstoff-Luft-Explosion in der Hauptstadt erfasst.\n\nBurg Gallas wurde zerstört.
holyshit^commander*letsnotdothatagainanytimesoon?,Heilige <i>Scheiße</i> Commander. Können wir das bitte nicht wiederholen?
holyshit^wedidit!weactuallywon!,Heilige Scheiße wir haben's geschafft! Wir haben tatsächlich gewonnen!
home,Pos 1
honduras,Honduras
honest,ehrlich
honest+notrebel,Ehrlich + nicht Rebell
